Field	BIDS CLINICA	BIDS format	BIDS type	ADNI	ADNI location
Financial Capacity Instrument Short Form - Fincial Conceptual Knowledge Score (Items 3-6)	fci_fc_score			FC_SCORE	FCI.csv
Financial Capacity Instrument Short Form - Single/Checkbook Register Score (Items 7-16)	fci_snglchkscore			SNGLCHKSCORE	FCI.csv
Financial Capacity Instrument Short Form - Complex Checkbook/Register Score (Items 17-30)	fci_complxchkscore			COMPLXCHKSCORE	FCI.csv
Financial Capacity Instrument Short Form - Checkbook/Register Composite Time (Items Jul-16 & 17-30):	fci_chkcompostime			CHKCOMPOSTIME	FCI.csv
Financial Capacity Instrument Short Form - Combined Checkbook/Register Score (Items Jul-16 + 17-30 )	fci_chkcomposscore			CHKCOMPOSSCORE	FCI.csv
Financial Capacity Instrument Short Form - Bank Statement Magement Score (Items 31-37)	fci_bankstatscore			BANKSTATSCORE	FCI.csv
Financial Capacity Instrument Short Form -  Total Composite Time (Items 4, 5, 7-16, 17-30)	fci_totcomptime			TOTCOMPTIME	FCI.csv
Financial Capacity Instrument Short Form - Total score	fci_fciscore			FCISCORE	FCI.csv
Financial Capacity Instrument Short Form - Was assessment/procedure done?	fci_done			DONE	FCI.csv
Financial Capacity Instrument Short Form - If No, reason not done	fci_ndreason			NDREASON	FCI.csv
Financial Capacity Instrument Short Form - 1 Nickels	fci_nickels			NICKELS	FCI.csv
Financial Capacity Instrument Short Form - 2 Quarters	fci_quarters			QUARTERS	FCI.csv
Financial Capacity Instrument Short Form - 3 Budget	fci_budget			BUDGET	FCI.csv
Financial Capacity Instrument Short Form - Experience with Medical Insurance Plan?	fci_expmedins			EXPMEDINS	FCI.csv
Financial Capacity Instrument Short Form - 4 Health Care Insurance Problem	fci_insurance			INSURANCE	FCI.csv
Financial Capacity Instrument Short Form - Time to complete Item 4	fci_medinstime			MEDINSTIME	FCI.csv
Financial Capacity Instrument Short Form - Experience with Income Taxes?	fci_expinctax			EXPINCTAX	FCI.csv
Financial Capacity Instrument Short Form - 5 a. Tax Credit	fci_taxcreda			TAXCREDA	FCI.csv
Financial Capacity Instrument Short Form - Time to complete Item 5.a.	fci_ques5time			QUES5TIME	FCI.csv
Financial Capacity Instrument Short Form - 5 b. Tax Credit	fci_taxcredb			TAXCREDB	FCI.csv
Financial Capacity Instrument Short Form - Experience with Checkbook/Check Register?	fci_expcheckreg			EXPCHECKREG	FCI.csv
Financial Capacity Instrument Short Form - 6 Payee	fci_payee			PAYEE	FCI.csv
Financial Capacity Instrument Short Form - 7 Payee section	fci_snglchk7			SNGLCHK7	FCI.csv
Financial Capacity Instrument Short Form - 8 $ amount section (numerical)	fci_snglchk8			SNGLCHK8	FCI.csv
Financial Capacity Instrument Short Form - 9 $ amount section (written)	fci_snglchk9			SNGLCHK9	FCI.csv
Financial Capacity Instrument Short Form - 10 Sigture of payer	fci_snglchk10			SNGLCHK10	FCI.csv
Financial Capacity Instrument Short Form - 11 Date properly written	fci_snglchk11			SNGLCHK11	FCI.csv
Financial Capacity Instrument Short Form - 12 Number of check	fci_snglchk12			SNGLCHK12	FCI.csv
Financial Capacity Instrument Short Form - 13 Date properly entered	fci_snglchk13			SNGLCHK13	FCI.csv
Financial Capacity Instrument Short Form - 14 Payee section	fci_snglchk14			SNGLCHK14	FCI.csv
Financial Capacity Instrument Short Form - 15 Amount of check	fci_snglchk15			SNGLCHK15	FCI.csv
Financial Capacity Instrument Short Form - 16 New account balance	fci_snglchk16			SNGLCHK16	FCI.csv
Financial Capacity Instrument Short Form - Time to complete items 7-16	fci_snglchktime			SNGLCHKTIME	FCI.csv
Financial Capacity Instrument Short Form - 17 Number of check	fci_complxchk17			COMPLXCHK17	FCI.csv
Financial Capacity Instrument Short Form - 18 Date properly entered	fci_complxchk18			COMPLXCHK18	FCI.csv
Financial Capacity Instrument Short Form - 19 Payee section	fci_complxchk19			COMPLXCHK19	FCI.csv
Financial Capacity Instrument Short Form - 20 Amount of check	fci_complxchk20			COMPLXCHK20	FCI.csv
Financial Capacity Instrument Short Form - 21 New Account Balance	fci_complxchk21			COMPLXCHK21	FCI.csv
Financial Capacity Instrument Short Form - 22 Number of check	fci_complxchk22			COMPLXCHK22	FCI.csv
Financial Capacity Instrument Short Form - 23 Date properly entered	fci_complxchk23			COMPLXCHK23	FCI.csv
Financial Capacity Instrument Short Form - 24 Payee section	fci_complxchk24			COMPLXCHK24	FCI.csv
Financial Capacity Instrument Short Form - 25 Amount of check	fci_complxchk25			COMPLXCHK25	FCI.csv
Financial Capacity Instrument Short Form - 26 New Account Balance	fci_complxchk26			COMPLXCHK26	FCI.csv
Financial Capacity Instrument Short Form - 27 Date properly entered	fci_complxchk27			COMPLXCHK27	FCI.csv
Financial Capacity Instrument Short Form - 28 Description of Transaction	fci_complxchk28			COMPLXCHK28	FCI.csv
Financial Capacity Instrument Short Form - 29 Amount of deposit	fci_complxchk29			COMPLXCHK29	FCI.csv
Financial Capacity Instrument Short Form - 30 New account balance	fci_complxchk30			COMPLXCHK30	FCI.csv
Financial Capacity Instrument Short Form - Time to complete Items 17-30	fci_complxchktime			COMPLXCHKTIME	FCI.csv
Financial Capacity Instrument Short Form - 31 a. Bank Statement	fci_bankstata			BANKSTATA	FCI.csv
Financial Capacity Instrument Short Form - 31 b. Bank Statement	fci_bankstatb			BANKSTATB	FCI.csv
Financial Capacity Instrument Short Form - Experience with Bank Statement?	fci_expbankstate			EXPBANKSTATE	FCI.csv
Financial Capacity Instrument Short Form - 32 Interest Rate	fci_bankstat32			BANKSTAT32	FCI.csv
Financial Capacity Instrument Short Form - 33 Time Period	fci_bankstat33			BANKSTAT33	FCI.csv
Financial Capacity Instrument Short Form - 34 Checks Cleared	fci_bankstat34			BANKSTAT34	FCI.csv
Financial Capacity Instrument Short Form - 35 Quarterly Interest	fci_bankstat35			BANKSTAT35	FCI.csv
Financial Capacity Instrument Short Form - 36 Gaps in Check Sequence	fci_bankstat36			BANKSTAT36	FCI.csv
Financial Capacity Instrument Short Form - 37 Date of the Withdrawal Payment	fci_bankstat37			BANKSTAT37	FCI.csv
					
Geriatric Depression Scale - Information Source	gdscale_gdsource			GDSOURCE	GDSCALE.csv
Geriatric Depression Scale - Check here if:	gdscale_gdunabl			GDUNABL	GDSCALE.csv
Geriatric Depression Scale - If unable, explain:	gdscale_gdunabsp			GDUNABSP	GDSCALE.csv
Geriatric Depression Scale - 1. Are you basically satisfied with your life?	gdscale_gdsatis			GDSATIS	GDSCALE.csv
Geriatric Depression Scale - 2. Have you dropped many of your activities and interests?	gdscale_gddrop			GDDROP	GDSCALE.csv
Geriatric Depression Scale - 3. Do you feel that your life is empty?	gdscale_gdempty			GDEMPTY	GDSCALE.csv
Geriatric Depression Scale - 4. Do you often get bored?	gdscale_gdbored			GDBORED	GDSCALE.csv
Geriatric Depression Scale - 5. Are you in good spirits most of the time?	gdscale_gdspirit			GDSPIRIT	GDSCALE.csv
Geriatric Depression Scale - 6. Are you afraid that something bad is going to happen to you?	gdscale_gdafraid			GDAFRAID	GDSCALE.csv
Geriatric Depression Scale - 7. Do you feel happy most of the time?	gdscale_gdhappy			GDHAPPY	GDSCALE.csv
Geriatric Depression Scale - 8. Do you often feel helpless?	gdscale_gdhelp			GDHELP	GDSCALE.csv
Geriatric Depression Scale - 9. Do you prefer to stay at home, rather than going out and doing new things?	gdscale_gdhome			GDHOME	GDSCALE.csv
Geriatric Depression Scale - 10. Do you feel you have more problems with memory than most?	gdscale_gdmemory			GDMEMORY	GDSCALE.csv
Geriatric Depression Scale - 11. Do you think its wonderful to be alive now?	gdscale_gdalive			GDALIVE	GDSCALE.csv
Geriatric Depression Scale - 12. Do you feel pretty worthless the way you are now?	gdscale_gdworth			GDWORTH	GDSCALE.csv
Geriatric Depression Scale - 13. Do you feel full of energy?	gdscale_gdenergy			GDENERGY	GDSCALE.csv
Geriatric Depression Scale - 14. Do you feel that your situation is hopeless?	gdscale_gdhope			GDHOPE	GDSCALE.csv
Geriatric Depression Scale - 15. Do you think that most people are better off than you are?	gdscale_gdbetter			GDBETTER	GDSCALE.csv
Geriatric Depression Scale - Total Score	gdscale_gdtotal			GDTOTAL	GDSCALE.csv
					
Modified Hachinski - 1. Abrupt Onset of Dementia	modhach_hmonset			HMONSET	MODHACH.csv
Modified Hachinski - 2. Stepwise Deterioration of Dementia	modhach_hmstepws			HMSTEPWS	MODHACH.csv
Modified Hachinski - 3. Somatic Complaints	modhach_hmsomatc			HMSOMATC	MODHACH.csv
Modified Hachinski - 4. Emotional Incontinence	modhach_hmemotio			HMEMOTIO	MODHACH.csv
Modified Hachinski - 5. History of Hypertension	modhach_hmhypert			HMHYPERT	MODHACH.csv
Modified Hachinski - 6. History of Stroke	modhach_hmstroke			HMSTROKE	MODHACH.csv
Modified Hachinski - 7. Focal Neurologic Symptoms	modhach_hmneursm			HMNEURSM	MODHACH.csv
Modified Hachinski - 8. Focal Neurologic Signs	modhach_hmneursg			HMNEURSG	MODHACH.csv
Modified Hachinski - Total score	modhach_hmscore			HMSCORE	MODHACH.csv
					
Montreal Cognitive Assessment - Trails	moca_trails			TRAILS	MOCA.csv
Montreal Cognitive Assessment - Copy Cube	moca_cube			CUBE	MOCA.csv
Montreal Cognitive Assessment - Draw Clock - Contour	moca_clockcon			CLOCKCON	MOCA.csv
Montreal Cognitive Assessment - Draw Clock - Number	moca_clockno			CLOCKNO	MOCA.csv
Montreal Cognitive Assessment - Draw Clock - Hands	moca_clockhan			CLOCKHAN	MOCA.csv
Montreal Cognitive Assessment - Lion	moca_lion			LION	MOCA.csv
Montreal Cognitive Assessment - Rhinoceros	moca_rhino			RHINO	MOCA.csv
Montreal Cognitive Assessment - Camel	moca_camel			CAMEL	MOCA.csv
Montreal Cognitive Assessment - Immediate (#1): Face	moca_immt1w1			IMMT1W1	MOCA.csv
Montreal Cognitive Assessment - Immediate (#1): Velvet	moca_immt1w2			IMMT1W2	MOCA.csv
Montreal Cognitive Assessment - Immediate (#1): Church	moca_immt1w3			IMMT1W3	MOCA.csv
Montreal Cognitive Assessment - Immediate (#1): Daisy	moca_immt1w4			IMMT1W4	MOCA.csv
Montreal Cognitive Assessment - Immediate (#1): Red	moca_immt1w5			IMMT1W5	MOCA.csv
Montreal Cognitive Assessment - Immediate (#2): Face	moca_immt2w1			IMMT2W1	MOCA.csv
Montreal Cognitive Assessment - Immediate (#2): Velvet	moca_immt2w2			IMMT2W2	MOCA.csv
Montreal Cognitive Assessment - Immediate (#2): Church	moca_immt2w3			IMMT2W3	MOCA.csv
Montreal Cognitive Assessment - Immediate (#2): Daisy	moca_immt2w4			IMMT2W4	MOCA.csv
Montreal Cognitive Assessment - Immediate (#2): Red	moca_immt2w5			IMMT2W5	MOCA.csv
Montreal Cognitive Assessment - Digits Forward	moca_digfor			DIGFOR	MOCA.csv
Montreal Cognitive Assessment - Digits Backward	moca_digback			DIGBACK	MOCA.csv
Montreal Cognitive Assessment - List of Letters/Tapping: # Errors	moca_letters			LETTERS	MOCA.csv
Montreal Cognitive Assessment - Serial 07:00 1st Subtraction	moca_serial1			SERIAL1	MOCA.csv
Montreal Cognitive Assessment - Serial 07:00 2nd Subtraction	moca_serial2			SERIAL2	MOCA.csv
Montreal Cognitive Assessment - Serial 07:00 3rd Subtraction	moca_serial3			SERIAL3	MOCA.csv
Montreal Cognitive Assessment - Serial 07:00 4th Subtraction	moca_serial4			SERIAL4	MOCA.csv
Montreal Cognitive Assessment - Serial 07:00 5th Subtraction	moca_serial5			SERIAL5	MOCA.csv
Montreal Cognitive Assessment - Repeat Sentence: I only know that John is the one to help today.	moca_repeat1			REPEAT1	MOCA.csv
Montreal Cognitive Assessment - Repeat Sentence: The cat always hid under the couch when dogs were in the room.	moca_repeat2			REPEAT2	MOCA.csv
Montreal Cognitive Assessment - Letter Fluency - F: Total number of correct words	moca_ffluency			FFLUENCY	MOCA.csv
Montreal Cognitive Assessment - Abstraction: train-bicycle	moca_abstran			ABSTRAN	MOCA.csv
Montreal Cognitive Assessment - Abstraction: watch-ruler	moca_absmeas			ABSMEAS	MOCA.csv
Montreal Cognitive Assessment - Delayed: Face	moca_delw1			DELW1	MOCA.csv
Montreal Cognitive Assessment - Delayed: Velvet	moca_delw2			DELW2	MOCA.csv
Montreal Cognitive Assessment - Delayed: Church	moca_delw3			DELW3	MOCA.csv
Montreal Cognitive Assessment - Delayed: Daisy	moca_delw4			DELW4	MOCA.csv
Montreal Cognitive Assessment - Delayed: Red	moca_delw5			DELW5	MOCA.csv
Montreal Cognitive Assessment - Date	moca_date			DATE	MOCA.csv
Montreal Cognitive Assessment - Month	moca_month			MONTH	MOCA.csv
Montreal Cognitive Assessment - Year	moca_year			YEAR	MOCA.csv
Montreal Cognitive Assessment - Day	moca_day			DAY	MOCA.csv
Montreal Cognitive Assessment - Place	moca_place			PLACE	MOCA.csv
Montreal Cognitive Assessment - City	moca_city			CITY	MOCA.csv
Montreal Cognitive Assessment - MoCA	moca_moca			MOCA	MOCA.csv
					
Neuropsychiatric Inventory - A. Delusions	npi_npia			NPIA	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} believe that he/she is in danger - that others are planning to hurt him/her?	npi_npia1			NPIA1	NPI.csv
Neuropsychiatric Inventory - 10a. Frequency Ratings	npi_npia10a			NPIA10A	NPI.csv
Neuropsychiatric Inventory - 10b. Severity Ratings	npi_npia10b			NPIA10B	NPI.csv
Neuropsychiatric Inventory - 10c. Caregiver Distress	npi_npia10c			NPIA10C	NPI.csv
Neuropsychiatric Inventory - 2. Does {P} believe that others are stealing from him/her?	npi_npia2			NPIA2	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} believe that his/her spouse is having an affair?	npi_npia3			NPIA3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} believe that unwelcome guests are living in his/her house?	npi_npia4			NPIA4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} believe that his/her spouse or others are not who they claim to be?	npi_npia5			NPIA5	NPI.csv
Neuropsychiatric Inventory - 6. Does {P} believe that his/her house is not his/her home?	npi_npia6			NPIA6	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} believe that family members plan to abandon him/her?	npi_npia7			NPIA7	NPI.csv
Neuropsychiatric Inventory - 8. Does {P} believe that television or magazine figures are actually present in the home?  [Does he/she try to talk to or interact with them?]	npi_npia8			NPIA8	NPI.csv
Neuropsychiatric Inventory - 9. Does {P} believe any other unusual things that I haven't asked about?	npi_npia9			NPIA9	NPI.csv
Neuropsychiatric Inventory - A. Delusions: Item score	npi_npiatot			NPIATOT	NPI.csv
Neuropsychiatric Inventory - B.  Hallucinations	npi_npib			NPIB	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} describe hearing voices or act as if he/she hears voices?	npi_npib1			NPIB1	NPI.csv
Neuropsychiatric Inventory - 2. Does {P} talk to people who are not there?	npi_npib2			NPIB2	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} describe seeing things not seen by others or behave as if he/she is seeing things not seen by others (people, animals, lights, etc.)?	npi_npib3			NPIB3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} report smelling odors not smelled by others?	npi_npib4			NPIB4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} describe feeling things on his/her skin or otherwise appear to be feeling things crawling or touching him/her?	npi_npib5			NPIB5	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} describe any other unusual sensory experiences?	npi_npib7			NPIB7	NPI.csv
Neuropsychiatric Inventory - 8a.  Frequency Ratings	npi_npib8a			NPIB8A	NPI.csv
Neuropsychiatric Inventory - 8b. Severity Ratings	npi_npib8b			NPIB8B	NPI.csv
Neuropsychiatric Inventory - 8c. Caregiver Distress	npi_npib8c			NPIB8C	NPI.csv
Neuropsychiatric Inventory - B. Hallucinations: Item score	npi_npibtot			NPIBTOT	NPI.csv
Neuropsychiatric Inventory - C: Agitation/Aggression	npi_npic			NPIC	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} get upset with those trying to care for him/her or resist activities such as bathing or changing clothes?	npi_npic1			NPIC1	NPI.csv
Neuropsychiatric Inventory - 2. Is {P} stubborn, having to have things his/her way?	npi_npic2			NPIC2	NPI.csv
Neuropsychiatric Inventory - 3. Is {P} uncooperative, resistive to help from others?	npi_npic3			NPIC3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} have any other behaviors that make him/her hard to handle?	npi_npic4			NPIC4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} shout or curse angrily?	npi_npic5			NPIC5	NPI.csv
Neuropsychiatric Inventory - 6. Does {P} slam doors, kick furniture, throw things?	npi_npic6			NPIC6	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} attempt to hurt or hit others?	npi_npic7			NPIC7	NPI.csv
Neuropsychiatric Inventory - 8. Does {P} have any other aggressive or agitated behaviors?	npi_npic8			NPIC8	NPI.csv
Neuropsychiatric Inventory - 9a. Frequency Ratings	npi_npic9a			NPIC9A	NPI.csv
Neuropsychiatric Inventory - 9b. Severity Ratings	npi_npic9b			NPIC9B	NPI.csv
Neuropsychiatric Inventory - 9c. Caregiver Distress	npi_npic9c			NPIC9C	NPI.csv
Neuropsychiatric Inventory - C. Agitation/Aggression: Item score	npi_npictot			NPICTOT	NPI.csv
Neuropsychiatric Inventory - D: Depression/Dysphoria	npi_npid			NPID	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} have periods of tearfulness or sobbing that seem to indicate sadness?	npi_npid1			NPID1	NPI.csv
Neuropsychiatric Inventory - 2. Does {P} say or act as if he/she is sad or low in spirits?	npi_npid2			NPID2	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} put him/herself down or say that he/she feels like a failure?	npi_npid3			NPID3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} say that he/she is a bad person or deserves to be punished?	npi_npid4			NPID4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} seem very discouraged or say that he/ she has not future?	npi_npid5			NPID5	NPI.csv
Neuropsychiatric Inventory - 6. Does {P} say he/she is a burden to the family or that the family would be better off without him/her?	npi_npid6			NPID6	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} express a wish for death or talk about killing him/herself?	npi_npid7			NPID7	NPI.csv
Neuropsychiatric Inventory - 8. Does {P} show any other signs of depression or sadness?	npi_npid8			NPID8	NPI.csv
Neuropsychiatric Inventory - 9a. Frequency Ratings	npi_npid9a			NPID9A	NPI.csv
Neuropsychiatric Inventory - 9b. Severity Ratings	npi_npid9b			NPID9B	NPI.csv
Neuropsychiatric Inventory - 9c. Caregiver Distress	npi_npid9c			NPID9C	NPI.csv
Neuropsychiatric Inventory - D. Depression/Dysphoria: Item score	npi_npidtot			NPIDTOT	NPI.csv
Neuropsychiatric Inventory - E. Anxiety	npi_npie			NPIE	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} say that he/she is worried about planned events?	npi_npie1			NPIE1	NPI.csv
Neuropsychiatric Inventory - 2. Does {P} have periods of feeling shaky, unable to relax, or feeling excessively tense?	npi_npie2			NPIE2	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} have periods of [or complain of] shortness of breath, gasping, or sighing for no apparent reason other than nervousness?	npi_npie3			NPIE3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} complain of butterflies in his/her stomach, or of racing or pounding of the heart in association with nervousness? [Symptoms not explained by ill health]?	npi_npie4			NPIE4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} avoid certain places or situations that make him.her more nervous such as riding in the car, meeting with friends, or being in crowds?	npi_npie5			NPIE5	NPI.csv
Neuropsychiatric Inventory - 6. Does {P} become nervous or upset when separated from you [or his/her caregiver]? [Does he/she cling to you to keep from being separated?]	npi_npie6			NPIE6	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} show any other signs of anxiety?	npi_npie7			NPIE7	NPI.csv
Neuropsychiatric Inventory - 8a. Frequency Ratings	npi_npie8a			NPIE8A	NPI.csv
Neuropsychiatric Inventory - 8b. Severity Ratings	npi_npie8b			NPIE8B	NPI.csv
Neuropsychiatric Inventory - 8c. Caregiver Distress	npi_npie8c			NPIE8C	NPI.csv
Neuropsychiatric Inventory - F. Elation/Euphoria	npi_npif			NPIF	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} appear to feel too good or too happy, different from his/her usual self?	npi_npif1			NPIF1	NPI.csv
Neuropsychiatric Inventory - 2. Does {P} find humor and laugh at things that others do not find funny?	npi_npif2			NPIF2	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} seem to have a childish sense of humor with a tendency to giggle or laugh inappropriately (such as when something unfortunate happens to others)?	npi_npif3			NPIF3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} tell jokes or make remarks that have little humor for others but seem funny to him/her?	npi_npif4			NPIF4	NPI.csv
Neuropsychiatric Inventory - 5. Does he/she play childish pranks such as pinching or playing 'keep away' for the fun of it?	npi_npif5			NPIF5	NPI.csv
Neuropsychiatric Inventory - 6. Does {P} 'talk big' or claim to have more abilities or wealth than is true?	npi_npif6			NPIF6	NPI.csv
Neuropsychiatric Inventory - 7. Does {P} show any other signs of feeling too good or being too happy?	npi_npif7			NPIF7	NPI.csv
Neuropsychiatric Inventory - 8a. Frequency Ratings	npi_npif8a			NPIF8A	NPI.csv
Neuropsychiatric Inventory - 8b. Severity Ratings	npi_npif8b			NPIF8B	NPI.csv
Neuropsychiatric Inventory - G. Apathy/Indifference	npi_npig			NPIG	NPI.csv
Neuropsychiatric Inventory - 3. Is {P} less affectionate or lacking in emotions when compared to his/her usual self?	npi_npig3			NPIG3	NPI.csv
Neuropsychiatric Inventory - 4. Does {P} contribute less to household chores?	npi_npig4			NPIG4	NPI.csv
Neuropsychiatric Inventory - 5. Does {P} seem less interested in the activities and plans of others?	npi_npig5			NPIG5	NPI.csv
Neuropsychiatric Inventory - 7. Is {P} less enthusiastic about his/her usual interests?	npi_npig7			NPIG7	NPI.csv
Neuropsychiatric Inventory - 9a. Frequency Ratings	npi_npig9a			NPIG9A	NPI.csv
Neuropsychiatric Inventory - 9b. Severity Ratings	npi_npig9b			NPIG9B	NPI.csv
Neuropsychiatric Inventory - 9c. Caregiver Distress	npi_npig9c			NPIG9C	NPI.csv
Neuropsychiatric Inventory - G. Apathy/Indifference: Item score	npi_npigtot			NPIGTOT	NPI.csv
Neuropsychiatric Inventory - H. Disinhibition	npi_npih			NPIH	NPI.csv
Neuropsychiatric Inventory - 1. Does {P} act impulsively without appearing to consider the consequences?	npi_npih1			NPIH1	NPI.csv
Neuropsychiatric Inventory - 3. Does {P} say things to people that are insensitive or hurt their feelings?	npi_npih3			NPIH3	NPI.csv
