Field	BIDS CLINICA	BIDS format	BIDS type	ADNI	ADNI location
Brain Health Registry - Baseline Questionnaire - QID50	bhr_baseline_questionnaire_qid50			QID50	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID4	bhr_baseline_questionnaire_qid4			QID4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID2	bhr_baseline_questionnaire_qid2			QID2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID3	bhr_baseline_questionnaire_qid3			QID3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID5	bhr_baseline_questionnaire_qid5			QID5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID20	bhr_baseline_questionnaire_qid20			QID20	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID7	bhr_baseline_questionnaire_qid7			QID7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID8	bhr_baseline_questionnaire_qid8			QID8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID21	bhr_baseline_questionnaire_qid21			QID21	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID38	bhr_baseline_questionnaire_qid38			QID38	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID22	bhr_baseline_questionnaire_qid22			QID22	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID23_TEXT	bhr_baseline_questionnaire_qid23_text			QID23_TEXT	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID41	bhr_baseline_questionnaire_qid41			QID41	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID42_TEXT	bhr_baseline_questionnaire_qid42_text			QID42_TEXT	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID15_1	bhr_baseline_questionnaire_qid15_1			QID15_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID15_2	bhr_baseline_questionnaire_qid15_2			QID15_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID26_1	bhr_baseline_questionnaire_qid26_1			QID26_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID26_2	bhr_baseline_questionnaire_qid26_2			QID26_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID27_1	bhr_baseline_questionnaire_qid27_1			QID27_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID27_3	bhr_baseline_questionnaire_qid27_3			QID27_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_1	bhr_baseline_questionnaire_qid16_1			QID16_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_2	bhr_baseline_questionnaire_qid16_2			QID16_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_3	bhr_baseline_questionnaire_qid16_3			QID16_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_4	bhr_baseline_questionnaire_qid16_4			QID16_4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_5	bhr_baseline_questionnaire_qid16_5			QID16_5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_6	bhr_baseline_questionnaire_qid16_6			QID16_6	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_7	bhr_baseline_questionnaire_qid16_7			QID16_7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_8	bhr_baseline_questionnaire_qid16_8			QID16_8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_9	bhr_baseline_questionnaire_qid16_9			QID16_9	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_10	bhr_baseline_questionnaire_qid16_10			QID16_10	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID28_1	bhr_baseline_questionnaire_qid28_1			QID28_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID28_2	bhr_baseline_questionnaire_qid28_2			QID28_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID29_1	bhr_baseline_questionnaire_qid29_1			QID29_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID29_2	bhr_baseline_questionnaire_qid29_2			QID29_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID30_1	bhr_baseline_questionnaire_qid30_1			QID30_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID30_2	bhr_baseline_questionnaire_qid30_2			QID30_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID31_1	bhr_baseline_questionnaire_qid31_1			QID31_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID31_2	bhr_baseline_questionnaire_qid31_2			QID31_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID32_1	bhr_baseline_questionnaire_qid32_1			QID32_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID32_2	bhr_baseline_questionnaire_qid32_2			QID32_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID33_1	bhr_baseline_questionnaire_qid33_1			QID33_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID33_2	bhr_baseline_questionnaire_qid33_2			QID33_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID34_1	bhr_baseline_questionnaire_qid34_1			QID34_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID34_2	bhr_baseline_questionnaire_qid34_2			QID34_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID35_1	bhr_baseline_questionnaire_qid35_1			QID35_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID35_2	bhr_baseline_questionnaire_qid35_2			QID35_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID36_1	bhr_baseline_questionnaire_qid36_1			QID36_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID36_2	bhr_baseline_questionnaire_qid36_2			QID36_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID37_1	bhr_baseline_questionnaire_qid37_1			QID37_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID37_2	bhr_baseline_questionnaire_qid37_2			QID37_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_1	bhr_baseline_questionnaire_qid39_1			QID39_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_2	bhr_baseline_questionnaire_qid39_2			QID39_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_3	bhr_baseline_questionnaire_qid39_3			QID39_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_4	bhr_baseline_questionnaire_qid39_4			QID39_4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_5	bhr_baseline_questionnaire_qid39_5			QID39_5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_6	bhr_baseline_questionnaire_qid46_6			QID46_6	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_7	bhr_baseline_questionnaire_qid46_7			QID46_7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_8	bhr_baseline_questionnaire_qid46_8			QID46_8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_9	bhr_baseline_questionnaire_qid46_9			QID46_9	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_13	bhr_baseline_questionnaire_qid46_13			QID46_13	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_11	bhr_baseline_questionnaire_qid47_11			QID47_11	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_12	bhr_baseline_questionnaire_qid47_12			QID47_12	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_13	bhr_baseline_questionnaire_qid47_13			QID47_13	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_14	bhr_baseline_questionnaire_qid47_14			QID47_14	BHR_BASELINE_QUESTIONNAIRE.csv
					
Brain Health Registry - Longitudinal Questionnaire - Latest	bhr_longitudinal_questionnaire_latest			latest	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID53	bhr_longitudinal_questionnaire_qid53			QID53	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID54	bhr_longitudinal_questionnaire_qid54			QID54	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID1	bhr_longitudinal_questionnaire_qid1			QID1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID2	bhr_longitudinal_questionnaire_qid2			QID2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID3	bhr_longitudinal_questionnaire_qid3			QID3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID4	bhr_longitudinal_questionnaire_qid4			QID4	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID24	bhr_longitudinal_questionnaire_qid24			QID24	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID6	bhr_longitudinal_questionnaire_qid6			QID6	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID7	bhr_longitudinal_questionnaire_qid7			QID7	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID8	bhr_longitudinal_questionnaire_qid8			QID8	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID25	bhr_longitudinal_questionnaire_qid25			QID25	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID10	bhr_longitudinal_questionnaire_qid10			QID10	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID12	bhr_longitudinal_questionnaire_qid12			QID12	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID27	bhr_longitudinal_questionnaire_qid27			QID27	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID28_TEXT	bhr_longitudinal_questionnaire_qid28_text			QID28_text	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID29	bhr_longitudinal_questionnaire_qid29			QID29	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID30_TEXT	bhr_longitudinal_questionnaire_qid30_text			QID30_text	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID18_1	bhr_longitudinal_questionnaire_qid18_1			QID18_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID18_2	bhr_longitudinal_questionnaire_qid18_2			QID18_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID31_1	bhr_longitudinal_questionnaire_qid31_1			QID31_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID31_2	bhr_longitudinal_questionnaire_qid31_2			QID31_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID32_1	bhr_longitudinal_questionnaire_qid32_1			QID32_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID32_3	bhr_longitudinal_questionnaire_qid32_3			QID32_3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_1	bhr_longitudinal_questionnaire_qid19_1			QID19_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_2	bhr_longitudinal_questionnaire_qid19_2			QID19_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_3	bhr_longitudinal_questionnaire_qid19_3			QID19_3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_4	bhr_longitudinal_questionnaire_qid19_4			QID19_4	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_5	bhr_longitudinal_questionnaire_qid19_5			QID19_5	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_6	bhr_longitudinal_questionnaire_qid19_6			QID19_6	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_7	bhr_longitudinal_questionnaire_qid19_7			QID19_7	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_8	bhr_longitudinal_questionnaire_qid19_8			QID19_8	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_9	bhr_longitudinal_questionnaire_qid19_9			QID19_9	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID19_10	bhr_longitudinal_questionnaire_qid19_10			QID19_10	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID34_1	bhr_longitudinal_questionnaire_qid34_1			QID34_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID34_2	bhr_longitudinal_questionnaire_qid34_2			QID34_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID35_1	bhr_longitudinal_questionnaire_qid35_1			QID35_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID35_2	bhr_longitudinal_questionnaire_qid35_2			QID35_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID36_1	bhr_longitudinal_questionnaire_qid36_1			QID36_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID36_2	bhr_longitudinal_questionnaire_qid36_2			QID36_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID37_1	bhr_longitudinal_questionnaire_qid37_1			QID37_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID37_2	bhr_longitudinal_questionnaire_qid37_2			QID37_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID38_1	bhr_longitudinal_questionnaire_qid38_1			QID38_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID38_2	bhr_longitudinal_questionnaire_qid38_2			QID38_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID39_1	bhr_longitudinal_questionnaire_qid39_1			QID39_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID39_2	bhr_longitudinal_questionnaire_qid39_2			QID39_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID40_1	bhr_longitudinal_questionnaire_qid40_1			QID40_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID40_2	bhr_longitudinal_questionnaire_qid40_2			QID40_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID41_1	bhr_longitudinal_questionnaire_qid41_1			QID41_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID41_2	bhr_longitudinal_questionnaire_qid41_2			QID41_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID42_1	bhr_longitudinal_questionnaire_qid42_1			QID42_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID42_2	bhr_longitudinal_questionnaire_qid42_2			QID42_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID43_1	bhr_longitudinal_questionnaire_qid43_1			QID43_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID43_2	bhr_longitudinal_questionnaire_qid43_2			QID43_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID49_1	bhr_longitudinal_questionnaire_qid49_1			QID49_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID49_2	bhr_longitudinal_questionnaire_qid49_2			QID49_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID49_3	bhr_longitudinal_questionnaire_qid49_3			QID49_3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID49_4	bhr_longitudinal_questionnaire_qid49_4			QID49_4	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID49_5	bhr_longitudinal_questionnaire_qid49_5			QID49_5	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID50_6	bhr_longitudinal_questionnaire_qid50_6			QID50_6	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID50_7	bhr_longitudinal_questionnaire_qid50_7			QID50_7	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID50_8	bhr_longitudinal_questionnaire_qid50_8			QID50_8	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID50_9	bhr_longitudinal_questionnaire_qid50_9			QID50_9	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID50_13	bhr_longitudinal_questionnaire_qid50_13			QID50_13	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID51_11	bhr_longitudinal_questionnaire_qid51_11			QID51_11	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID51_12	bhr_longitudinal_questionnaire_qid51_12			QID51_12	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID51_13	bhr_longitudinal_questionnaire_qid51_13			QID51_13	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID51_14	bhr_longitudinal_questionnaire_qid51_14			QID51_14	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
					
Medical History - Examination Date	medhist_examdate			EXAMDATE	MEDHIST.csv
Medical History - Information Source	medhist_mhsource			MHSOURCE	MEDHIST.csv
Medical History - 1 Psychiatric	medhist_mhpsych			MHPSYCH	MEDHIST.csv
Medical History - 2 Neurologic (other than AD)	medhist_mh2neurl			MH2NEURL	MEDHIST.csv
Medical History - 3 Head, Eyes, Ears, Nose and Throat	medhist_mh3head			MH3HEAD	MEDHIST.csv
Medical History - 4 Cardiovascular	medhist_mh4card			MH4CARD	MEDHIST.csv
Medical History - 5 Respiratory	medhist_mh5resp			MH5RESP	MEDHIST.csv
Medical History - 6 Hepatic	medhist_mh6hepat			MH6HEPAT	MEDHIST.csv
Medical History - 7 Dermatologic-Connective Tissue	medhist_mh7derm			MH7DERM	MEDHIST.csv
Medical History - 8 Musculoskeletal	medhist_mh8muscl			MH8MUSCL	MEDHIST.csv
Medical History - 9 Endocrine-Metabolic	medhist_mh9endo			MH9ENDO	MEDHIST.csv
Medical History - 10 Gastrointestinal	medhist_mh10gast			MH10GAST	MEDHIST.csv
Medical History - 11 Hematopoietic-Lymphatic	medhist_mh11hema			MH11HEMA	MEDHIST.csv
Medical History - 12 Renal-Genitourinary	medhist_mh12rena			MH12RENA	MEDHIST.csv
Medical History - 13 Allergies or Drug Sensitivities	medhist_mh13alle			MH13ALLE	MEDHIST.csv
Medical History - 14 Alcohol Abuse	medhist_mh14alch			MH14ALCH	MEDHIST.csv
Medical History - 14a. During period of alcohol abuse, estimate the average number of drinks per day	medhist_mh14aalch			MH14AALCH	MEDHIST.csv
Medical History - 14b. Duration of abuse (years)	medhist_mh14balch			MH14BALCH	MEDHIST.csv
Medical History - 14c. Period of time since end of abuse (years)	medhist_mh14calch			MH14CALCH	MEDHIST.csv
Medical History - 15 Drug Abuse	medhist_mh15drug			MH15DRUG	MEDHIST.csv
Medical History - 15a. Duration of abuse (years):	medhist_mh15adrug			MH15ADRUG	MEDHIST.csv
Medical History - 15b. Period of time since end of abuse (years):	medhist_mh15bdrug			MH15BDRUG	MEDHIST.csv
Medical History - 16 Smoking	medhist_mh16smok			MH16SMOK	MEDHIST.csv
Medical History - 16a. During periods of smoking, the average number of packs/day	medhist_mh16asmok			MH16ASMOK	MEDHIST.csv
Medical History - 16b. Duration (years)	medhist_mh16bsmok			MH16BSMOK	MEDHIST.csv
Medical History - 16c. If no longer smoking, provide period of time since stopped smoking (years)	medhist_mh16csmok			MH16CSMOK	MEDHIST.csv
Medical History - 17 Malignancy	medhist_mh17mali			MH17MALI	MEDHIST.csv
Medical History - 18 Major Surgical Procedures	medhist_mh18surg			MH18SURG	MEDHIST.csv
Medical History - 19 Other (if none, select No)	medhist_mh19othr			MH19OTHR	MEDHIST.csv
					
Vital Signs - Examination Date	vitals_examdate			EXAMDATE	VITALS.csv
Vital Signs - Weight	vitals_vsweight			VSWEIGHT	VITALS.csv
Vital Signs - Weight Units	vitals_vswtunit			VSWTUNIT	VITALS.csv
Vital Signs - Height	vitals_vsheight			VSHEIGHT	VITALS.csv
Vital Signs - Height Units	vitals_vshtunit			VSHTUNIT	VITALS.csv
Vital Signs - Systolic - mmHg	vitals_vsbpsys			VSBPSYS	VITALS.csv
Vital Signs - Diastolic - mmHg	vitals_vsbpdia			VSBPDIA	VITALS.csv
Vital Signs - Seated Pulse Rate (per minute)	vitals_vspulse			VSPULSE	VITALS.csv
Vital Signs - Respirations (per minute)	vitals_vsresp			VSRESP	VITALS.csv
Vital Signs - Temperature	vitals_vstemp			VSTEMP	VITALS.csv
Vital Signs - Temperature Source	vitals_vstmpsrc			VSTMPSRC	VITALS.csv
Vital Signs - Temperature Units	vitals_vstmpunt			VSTMPUNT	VITALS.csv
					
Crane Lab (UW) Neuropsych Summary Scores - ADNI Memory	uwnpsychsum_03_07_19_adni_mem			ADNI_MEM	UWNPSYCHSUM_03_07_19.csv
Crane Lab (UW) Neuropsych Summary Scores - ADNI Executive Functioning	uwnpsychsum_03_07_19_adni_ef			ADNI_EF	UWNPSYCHSUM_03_07_19.csv
					
Crane Lab (UW) Neuropsych Summary Scores - ADNI Memory	comp_adni_mem			ADNI_MEM	UWNPSYCHSUM_03_26_20.csv
Crane Lab (UW) Neuropsych Summary Scores - ADNI Executive Functioning	comp_adni_ef			ADNI_EF	UWNPSYCHSUM_03_26_20.csv
Crane Lab (UW) Neuropsych Summary Scores - ADNI Language	comp_adni_lan			ADNI_LAN	UWNPSYCHSUM_03_26_20.csv
Crane Lab (UW) Neuropsych Summary Scores - ADNI VS	comp_adni_vs			ADNI_VS	UWNPSYCHSUM_03_26_20.csv