data	level
plasma_nfl_(pg/ml)	sessions
plasma_nfl_source	sessions
plasma_gfap_(pg/ml)	sessions
plasma_gfap_source	sessions
plasma_pnfh	sessions
plasma_pnfh_source	sessions
affected	sessions
genetic_status_1	sessions
genetic_status_2	sessions
age_at_onset	sessions
first_symptom	sessions
first_symptom.1	sessions
first_symptom.2	sessions
diagnosis	sessions
rascovsky	sessions
gorno-tempini	sessions
el-escorial	sessions
ftld-cdr-sob	sessions
ftld-cdr-global	sessions
cdr-sob	sessions
genfi-cdr-sob	sessions
genfi-cdr-global	sessions
behav-sob	sessions
pass-sob	sessions
affected.1	sessions
behaviour	sessions
disinhibition	sessions
apathy	sessions
empathy	sessions
ocd	sessions
appetite	sessions
emotions	sessions
trusting	sessions
affected.2	sessions
neuropsych	sessions
vis_hal	sessions
aud_hal	sessions
tac_hal	sessions
delusions	sessions
depression	sessions
anxiety	sessions
lability	sessions
aggression	sessions
euphoria	sessions
aberr_motor	sessions
hypersexuality	sessions
hyperreligiousity	sessions
sleep	sessions
humour	sessions
affected.3	sessions
language	sessions
artic	sessions
fluency	sessions
grammar	sessions
retrieval	sessions
repetition	sessions
sent_comp	sessions
word_comp	sessions
dyslexia	sessions
dysgraphia	sessions
func_comm	sessions
affected.4	sessions
cognitive	sessions
memory	sessions
orientation	sessions
judg_prob_solv	sessions
comm_affairs	sessions
hobbies	sessions
personal_care	sessions
person_recog	sessions
topo_memory	sessions
visuospatial	sessions
attention	sessions
bradyphrenia	sessions
affected.5	sessions
motor	sessions
dysarthria	sessions
dysphagia	sessions
tremor	sessions
slowness	sessions
weakness	sessions
gait	sessions
falls	sessions
hands	sessions
affected.6	sessions
autonomic	sessions
bp	sessions
gastro	sessions
thermo	sessions
urinary	sessions
pain	sessions
affected.7	sessions
sounds	sessions
smell	sessions
unexplained	sessions
breathing	sessions
seizures	sessions
stroke	sessions
tbi	sessions
hypertension	sessions
hyperchol	sessions
diabetes	sessions
smoking	sessions
alcohol	sessions
rec_drugs	sessions
autoimmune	sessions
drug_history	sessions
no_of_drugs	sessions
mmse	sessions
supranuclear	sessions
eyelid	sessions
face_weakness	sessions
bulbar	sessions
pseudobulbar	sessions
neck_weakness	sessions
neck_rigidity	sessions
resp_weakness	sessions
myoclonus_l	sessions
myoclonus_r	sessions
rest_tremor_l	sessions
rest_tremor_r	sessions
post_tremor_l	sessions
post_tremor_r	sessions
dystonia_l	sessions
dystonia_r	sessions
chorea_l	sessions
chorea_r	sessions
bradykinesia_ul_l	sessions
bradykinesia_ul_r	sessions
bradykinesia_ll_l	sessions
bradykinesia_ll_r	sessions
rigidity_l	sessions
rigidity_r	sessions
limb_apraxia_l	sessions
limb_apraxia_r	sessions
alien_limb_l	sessions
alien_limb_r	sessions
cortical_sensory_l	sessions
cortical_sensory_r	sessions
fascic_ul_l	sessions
fascic_ul_r	sessions
fascic_ll_l	sessions
fascic_ll_r	sessions
spasticity_ul_l	sessions
spasticity_ul_r	sessions
spasticity_ll_l	sessions
spasticity_ll_r	sessions
weakness_ul_l	sessions
weakness_ul_r	sessions
weakness_ll_l	sessions
weakness_ll_r	sessions
hyperreflexia_ul_l	sessions
hyperreflexia_ul_r	sessions
hyperreflexia_ll_l	sessions
hyperreflexia_ll_r	sessions
ataxia_ul_l	sessions
ataxia_ul_r	sessions
ataxia_ll_l	sessions
ataxia_ll_r	sessions
abnormal_gait	sessions
type	sessions
severity	sessions
affected.8	sessions
arising	sessions
sitting	sessions
post_instability	sessions
memory.1	sessions
everyday_skills	sessions
self_care	sessions
abnormal_behaviour	sessions
mood	sessions
beliefs	sessions
eating	sessions
sleep.1	sessions
stereotypic_behaviour	sessions
motivation	sessions
cbi_total	sessions
frs_%	sessions
miri_total	sessions
miri_ec	sessions
miri_pt	sessions
rsms_total	sessions
rsms_ex	sessions
rsms_sp	sessions
alsfrs_total	sessions
emg	sessions
myoclonus	sessions
rest_tremor	sessions
post_tremor	sessions
dystonia	sessions
bradykinesia	sessions
rigidity	sessions
limb_apraxia	sessions
alien_limb	sessions
fascic_ul	sessions
fascic_ll	sessions
spasticity_ul	sessions
spasticity_ll	sessions
weakness_ul	sessions
weakness_ll	sessions
hyperreflexia_ul	sessions
hyperreflexia_ll	sessions
ataxia	sessions
genetic_group	participants
mutation	participants
blinded_family	participants
awareness_of_genetic_status	sessions
dob	participants
gender	participants
handedness	participants
education	sessions
employment	sessions
ethnicity	participants
mean_family_aao	sessions
age_at_visit	sessions
eyo	sessions
mother_affected	sessions
aao	sessions
aad	sessions
father_affected	sessions
diagnosis.1	sessions
aao.1	sessions
aad.1	sessions
no_of_sibs	sessions
no_of_affected_sibs	sessions
diagnosis_1	sessions
aao_1	sessions
aad_1	sessions
diagnosis_2	sessions
aao_2	sessions
aad_2	sessions
diagnosis_3	sessions
aao_3	sessions
aad_3	sessions
diagnosis_4	sessions
aao_4	sessions
aad_4	sessions
diagnosis_5	sessions
aao_5	sessions
aad_5	sessions
diagnosis_6	sessions
aao_6	sessions
aad_6	sessions
diagnosis_7	sessions
aao_7	sessions
aad_7	sessions
diagnosis_8	sessions
aao_8	sessions
aad_8	sessions
scan_for_qc	scans
qc_include_in_vbm	scans
qc_include_in_gif	scans
drc_qc	scans
mb_qc_comments	scans
other_qc_comments	scans
volume1	sessions
volume2	sessions
volume3	sessions
gm_ml	sessions
wm_ml	sessions
csf_ml	sessions
tiv_ml	sessions
tiv_mm3	sessions
non-brain_outer_tissue_-_background	sessions
non-brain_low	sessions
non-brain_mid	sessions
non-brain_high	sessions
non-ventricular_csf	sessions
3rd_ventricle	sessions
4th_ventricle_	sessions
5th_ventricle	sessions
right_accumbens_area	sessions
left_accumbens_area	sessions
right_amygdala	sessions
left_amygdala	sessions
pons	sessions
brain_stem	sessions
right_caudate	sessions
left_caudate	sessions
right_cerebellum_exterior	sessions
left_cerebellum_exterior	sessions
right_cerebellum_white_matter	sessions
left_cerebellum_white_matter	sessions
right_cerebral_exterior	sessions
left_cerebral_exterior_	sessions
3rd_ventricle_(posterior_part)	sessions
right_hippocampus	sessions
left_hippocampus	sessions
right_inf_lat_vent_	sessions
left_inf_lat_vent	sessions
right_lateral_ventricle	sessions
left_lateral_ventricle	sessions
right_lesion	sessions
left_lesion	sessions
right_pallidum	sessions
left_pallidum	sessions
right_putamen	sessions
left_putamen	sessions
right_thalamus_proper	sessions
left_thalamus_proper	sessions
right_ventral_dc	sessions
left_ventral_dc	sessions
right_vessel	sessions
left_vessel	sessions
right_ventricular_lining	sessions
left_ventricular_lining	sessions
optic_chiasm	sessions
cerebellar_vermal_lobules_i-v_	sessions
cerebellar_vermal_lobules_vi-vii_	sessions
cerebellar_vermal_lobules_viii-x_	sessions
left_basal_forebrain	sessions
right_basal_forebrain_	sessions
right_temporal_white_matter	sessions
right_insula_white_matter_	sessions
right_cingulate_white_matter	sessions
right_frontal_white_matter_	sessions
right_occipital_white_matter_	sessions
right_parietal_white_matter_	sessions
corpus_callosum_	sessions
left_temporal_white_matter_	sessions
left_insula_white_matter_	sessions
left_cingulate_white_matter_	sessions
left_frontal_white_matter_	sessions
left_occipital_white_matter_	sessions
left_parietal_white_matter_	sessions
right_claustrum_	sessions
left_claustrum	sessions
right_acgg_anterior_cingulate_gyrus_	sessions
left_acgg_anterior_cingulate_gyrus_	sessions
right_ains_anterior_insula_	sessions
left_ains_anterior_insula_	sessions
right_aorg_anterior_orbital_gyrus_	sessions
left_aorg_anterior_orbital_gyrus_	sessions
right_ang_angular_gyrus_	sessions
left_ang_angular_gyrus_	sessions
right_calc_calcarine_cortex_	sessions
left_calc_calcarine_cortex_	sessions
right_co_central_operculum_	sessions
left_co_central_operculum_	sessions
right_cun_cuneus_	sessions
left_cun_cuneus	sessions
right_ent_entorhinal_area_	sessions
left_ent_entorhinal_area	sessions
right_fo_frontal_operculum_	sessions
left_fo_frontal_operculum	sessions
right_frp_frontal_pole_	sessions
left_frp_frontal_pole_	sessions
right_fug_fusiform_gyrus_	sessions
left_fug_fusiform_gyrus_	sessions
right_gre_gyrus_rectus	sessions
left_gre_gyrus_rectus_	sessions
right_iog_inferior_occipital_gyrus	sessions
left_iog_inferior_occipital_gyrus_	sessions
right_itg_inferior_temporal_gyrus_	sessions
left_itg_inferior_temporal_gyrus_	sessions
right_lig_lingual_gyrus_	sessions
left_lig_lingual_gyrus_	sessions
right_lorg_lateral_orbital_gyrus_	sessions
left_lorg_lateral_orbital_gyrus_	sessions
right_mcgg_middle_cingulate_gyrus_	sessions
left_mcgg_middle_cingulate_gyrus_	sessions
right_mfc_medial_frontal_cortex	sessions
left_mfc_medial_frontal_cortex_	sessions
right_mfg_middle_frontal_gyrus_	sessions
left_mfg_middle_frontal_gyrus	sessions
right_mog_middle_occipital_gyrus_	sessions
left_mog_middle_occipital_gyrus_	sessions
right_morg_medial_orbital_gyrus_	sessions
left_morg_medial_orbital_gyrus_	sessions
right_mpog_postcentral_gyrus_medial_segment_	sessions
left_mpog_postcentral_gyrus_medial_segment_	sessions
right_mprg_precentral_gyrus_medial_segment_	sessions
left_mprg_precentral_gyrus_medial_segment_	sessions
right_msfg_superior_frontal_gyrus_medial_segment_	sessions
left_msfg_superior_frontal_gyrus_medial_segment	sessions
right_mtg_middle_temporal_gyrus_	sessions
left_mtg_middle_temporal_gyrus_	sessions
right_ocp_occipital_pole_	sessions
left_ocp_occipital_pole_	sessions
right_ofug_occipital_fusiform_gyrus_	sessions
left_ofug_occipital_fusiform_gyrus_	sessions
right_opifg_opercular_part_of_the_inferior_frontal_gyrus	sessions
left_opifg_opercular_part_of_the_inferior_frontal_gyrus_	sessions
right_orifg_orbital_part_of_the_inferior_frontal_gyrus_	sessions
left_orifg_orbital_part_of_the_inferior_frontal_gyrus_	sessions
right_pcgg_posterior_cingulate_gyrus_	sessions
left_pcgg_posterior_cingulate_gyrus_	sessions
right_pcu_precuneus_	sessions
left_pcu_precuneus_	sessions
right_phg_parahippocampal_gyrus_	sessions
left_phg_parahippocampal_gyrus_	sessions
right_pins_posterior_insula	sessions
left_pins_posterior_insula_	sessions
right_po_parietal_operculum	sessions
left_po_parietal_operculum_	sessions
right_pog_postcentral_gyrus_	sessions
left_pog_postcentral_gyrus_	sessions
right_porg_posterior_orbital_gyrus_	sessions
left_porg_posterior_orbital_gyrus_	sessions
right_pp_planum_polare_	sessions
left_pp_planum_polare	sessions
right_prg_precentral_gyrus_	sessions
left_prg_precentral_gyrus_	sessions
right_pt_planum_temporale_	sessions
left_pt_planum_temporale_	sessions
right_sca_subcallosal_area_	sessions
left_sca_subcallosal_area_	sessions
right_sfg_superior_frontal_gyrus_	sessions
left_sfg_superior_frontal_gyrus_	sessions
right_smc_supplementary_motor_cortex_	sessions
left_smc_supplementary_motor_cortex_	sessions
right_smg_supramarginal_gyrus_	sessions
left_smg_supramarginal_gyrus_	sessions
right_sog_superior_occipital_gyrus_	sessions
left_sog_superior_occipital_gyrus	sessions
right_spl_superior_parietal_lobule	sessions
left_spl_superior_parietal_lobule_	sessions
right_stg_superior_temporal_gyrus_	sessions
left_stg_superior_temporal_gyrus_	sessions
right_tmp_temporal_pole_	sessions
left_tmp_temporal_pole_	sessions
right_trifg_triangular_part_of_the_inferior_frontal_gyrus_	sessions
left_trifg_triangular_part_of_the_inferior_frontal_gyrus_	sessions
right_ttg_transverse_temporal_gyrus_	sessions
left_ttg_transverse_temporal_gyrus_	sessions
summed_vols	sessions
total_brain	sessions
frontal_lobe_volume	sessions
temporal_lobe_volume	sessions
parietal_lobe_volume	sessions
occipital_lobe_volume	sessions
cingulate_volume	sessions
insula_volume	sessions
left_frontal_lobe_volume	sessions
right_frontal_lobe_volume	sessions
left_temporal_lobe_volume	sessions
right_temporal_lobe_volume	sessions
left_parietal_lobe_volume	sessions
right_parietal_lobe_volume	sessions
left_occipital_lobe_volume	sessions
right_occipital_lobe_volume	sessions
left_cingulate_volume	sessions
right_cingulate_volume	sessions
left_insula_volume	sessions
right_insula_volume	sessions
1__orbitofrontal_left	sessions
2.__dlpfc_left	sessions
3.__vmpfc_left	sessions
4.__motor_left	sessions
5.__opercular_left	sessions
6.__frp_left	sessions
7.__medial_temp_left	sessions
8.__lateral_temp__left	sessions
9.__temporal_pole_left	sessions
10.__supra_temp_left	sessions
11.__medial_parietal_left	sessions
12.__lateral_parietal_left	sessions
13.__sensory_left	sessions
14.__medial_occ_left	sessions
15.__lateral_occ_left	sessions
16.__anterior_cing_left	sessions
17.__middle_cing_left	sessions
18.__posterior_cing_left	sessions
19.__ant_insula__left	sessions
20.__post_insula_left	sessions
1__orbitofrontal_right	sessions
2.__dlpfc_right	sessions
3.__vmpfc_right	sessions
4.__motor_right	sessions
5.__opercular_right	sessions
6.__frp_right	sessions
7.__medial_temp_right	sessions
8.__lateral_temp__right	sessions
9.__temporal_pole_right	sessions
10.__supra_temp_right	sessions
11.__medial_parietal_right	sessions
12.__lateral_parietal_right	sessions
13.__sensory_right	sessions
14.__medial_occ_right	sessions
15.__lateral_occ_right	sessions
16.__anterior_cing_right	sessions
17.__middle_cing_right	sessions
18.__posterior_cing_right	sessions
19.__ant_insula__right	sessions
20.__post_insula_right	sessions
series.1	sessions
1_left_i_iv_	sessions
2_right_i_iv_	sessions
3_left_v_	sessions
4_right_v_	sessions
5_left_vi_	sessions
6_vermis_vi_	sessions
7_right_vi_	sessions
8_left_crusi_	sessions
10_right_crusi_	sessions
11_left_crusii_	sessions
12_vermis_crusii_	sessions
13_right_crusii_	sessions
14_left_viib_	sessions
15_vermis_viib_	sessions
16_right_viib_	sessions
17_left_viiia_	sessions
18_vermis_viiia_	sessions
19_right_viiia_	sessions
20_left_viiib_	sessions
21_vermis_viiib_	sessions
22_right_viiib_	sessions
23_left_ix_	sessions
24_vermis_ix_	sessions
25_right_ix_	sessions
26_left_x_	sessions
27_vermis_x_	sessions
28_right_x_	sessions
29_left_dentate_	sessions
30_right_dentate_	sessions
31_left_interposed_	sessions
32_right_interposed_	sessions
33_left_fastigial_	sessions
34_right_fastigial_	sessions
left_cerebellar_cortex	sessions
right_cerebellar_cortex	sessions
total_cerebellum	sessions
vermis	sessions
deep_nuclei	sessions
anterior	sessions
superior_posterior	sessions
posterior	sessions
inferior_posterior	sessions
left_anterior	sessions
right_anterior	sessions
left_superior_posterior	sessions
right_superior_posterior	sessions
left_posterior	sessions
right_posterior	sessions
left_inferior_posterior	sessions
right_inferior_posterior	sessions
log_memory_immediate	sessions
ds_f_score	sessions
ds_f_max	sessions
ds_b_score	sessions
ds_b_max	sessions
tmta_time	sessions
tmta_errors	sessions
tmta_lines	sessions
tmtb_time	sessions
tmtb_errors	sessions
tmtb_lines	sessions
digit_symbol	sessions
boston_naming	sessions
vf_animals	sessions
vf_vegetables	sessions
vf_f	sessions
vf_a	sessions
vf_s	sessions
log_memory_delayed	sessions
log_memory_time	sessions
block_design	sessions
benson_figure_copy	sessions
c+c	sessions
benson_figure_recall	sessions
copy_recall_time	sessions
benson_recognition	sessions
fcrst_free	sessions
fcrst_total	sessions
stroop_color_uerrors	sessions
stroop_color_scerrors	sessions
stroop_color_time	sessions
stroop_word_uerrors	sessions
stroop_word_scerrors	sessions
stroop_word_time	sessions
stroop_ink_uerrors	sessions
stroop_ink_scerrors	sessions
stroop_ink_time	sessions
fcrst_del_free	sessions
fcrst_del_total	sessions
faux_pas_totalfp	sessions
faux_pas_totalnfp	sessions
faux_pas_totalall	sessions
faux_pas_subscore	sessions
ekman_happiness	sessions
ekman_surprise	sessions
ekman_disgust	sessions
ekman_fear	sessions
ekman_anger	sessions
ekman_sadness	sessions
ekman_neutral	sessions
ekman_all	sessions
ekman_subscore	sessions
minisea_total	sessions